                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.54082,                0.36625,                0.97444,                0.99459,                0.91545,                0.98539,                0.61672,                 1.2955,                0.58388,                 1.1716,               0.001241,               0.001241,               0.001241
                    118,                0.54593,                0.36961,                0.97347,                0.96811,                 0.9801,                0.99137,                0.64667,                 1.2238,                0.54002,                 1.1252,              0.0012344,              0.0012344,              0.0012344
                    119,                0.55947,                0.38353,                0.97748,                0.96113,                0.91542,                0.95976,                0.60034,                 1.3286,                0.68962,                 1.2041,              0.0012278,              0.0012278,              0.0012278
                    120,                0.57075,                0.39215,                  1.007,                0.90997,                0.91045,                0.95998,                0.58818,                 1.3713,                0.62357,                 1.2373,              0.0012212,              0.0012212,              0.0012212
                    121,                0.54849,                 0.3713,                0.98031,                0.95575,                0.96717,                0.98695,                0.62318,                 1.3315,                0.55184,                 1.2011,              0.0012146,              0.0012146,              0.0012146
                    122,                0.56155,                 0.3734,                0.98078,                0.97038,                0.98507,                0.98973,                0.61237,                 1.3267,                0.52711,                 1.1743,               0.001208,               0.001208,               0.001208
                    123,                0.54669,                0.37874,                0.97871,                0.92515,                0.92537,                0.96775,                0.63014,                 1.2615,                0.59353,                 1.1544,              0.0012014,              0.0012014,              0.0012014
                    124,                0.55386,                0.37145,                0.97456,                0.95409,                0.93043,                 0.9816,                0.63984,                 1.2561,                0.56659,                 1.1645,              0.0011948,              0.0011948,              0.0011948
                    125,                0.55402,                0.37842,                0.97538,                0.98203,                 0.9403,                0.98965,                0.62616,                 1.2863,                0.55538,                 1.1509,              0.0011882,              0.0011882,              0.0011882
                    126,                0.52569,                 0.3645,                 0.9735,                0.95768,                0.94527,                0.98627,                0.62474,                 1.3289,                0.60771,                 1.1902,              0.0011816,              0.0011816,              0.0011816
                    127,                0.54568,                0.37154,                0.97325,                0.95152,                 0.9005,                0.97805,                0.61896,                  1.305,                0.59483,                 1.2034,               0.001175,               0.001175,               0.001175
                    128,                0.53645,                0.36915,                0.97468,                0.95347,                 0.9005,                0.97624,                0.58082,                 1.4424,                0.62306,                 1.2615,              0.0011684,              0.0011684,              0.0011684
                    129,                0.50739,                0.35857,                0.95651,                0.90931,                0.97015,                0.98512,                0.63147,                 1.2571,                0.58937,                 1.1729,              0.0011618,              0.0011618,              0.0011618
